ageGroup,feedingGap,sleepOk,cryLevel,discomfort,temp,label
1,0,1,0,0,0,Happy
1,1,0,1,0,0,Sleepy
1,0,1,0,0,0,Happy
1,1,1,3,1,0,Discomfort
1,0,1,0,0,0,Happy
1,3,1,3,0,0,Hungry
1,1,0,1,0,0,Sleepy
1,3,1,3,0,0,Hungry
1,0,1,0,0,0,Happy
1,1,1,2,0,1,Fever
1,3,1,3,0,0,Hungry
1,1,0,1,0,0,Sleepy
1,0,1,0,0,0,Happy
1,1,1,2,0,1,Fever
1,0,1,0,0,0,Happy
1,1,1,3,1,0,Discomfort
1,1,0,1,0,0,Sleepy
1,3,1,3,0,0,Hungry
1,1,1,3,1,0,Discomfort
1,1,1,3,1,0,Discomfort
1,3,1,3,0,0,Hungry
1,1,1,2,0,1,Fever
1,1,1,3,1,0,Discomfort
1,1,0,1,0,0,Sleepy
1,1,0,1,0,0,Sleepy
1,1,0,1,0,0,Sleepy
1,1,1,3,1,0,Discomfort
1,0,1,0,0,0,Happy
1,1,1,2,0,1,Fever
1,1,1,2,0,1,Fever
1,1,0,1,0,0,Sleepy
1,0,1,0,0,0,Happy
1,1,1,2,0,1,Fever
1,1,0,1,0,0,Sleepy
1,1,1,2,0,1,Fever
1,1,1,3,1,0,Discomfort
1,1,1,3,1,0,Discomfort
1,1,1,3,1,0,Discomfort
1,3,1,3,0,0,Hungry
1,1,0,1,0,0,Sleepy
1,1,1,3,1,0,Discomfort
1,1,0,1,0,0,Sleepy
1,1,0,1,0,0,Sleepy
1,1,0,1,0,0,Sleepy
1,1,0,1,0,0,Sleepy
1,1,1,3,1,0,Discomfort
1,1,0,1,0,0,Sleepy
1,1,0,1,0,0,Sleepy
1,1,1,2,0,1,Fever
1,1,1,2,0,1,Fever
1,0,1,0,0,0,Happy
1,1,0,1,0,0,Sleepy
1,1,0,1,0,0,Sleepy
1,1,0,1,0,0,Sleepy
1,1,1,2,0,1,Fever
1,0,1,0,0,0,Happy
1,1,1,2,0,1,Fever
1,1,0,1,0,0,Sleepy
1,3,1,3,0,0,Hungry
1,1,0,1,0,0,Sleepy
1,3,1,3,0,0,Hungry
1,0,1,0,0,0,Happy
1,1,1,2,0,1,Fever
1,1,0,1,0,0,Sleepy
1,0,1,0,0,0,Happy
1,1,0,1,0,0,Sleepy
1,1,1,3,1,0,Discomfort
1,1,0,1,0,0,Sleepy
1,0,1,0,0,0,Happy
1,1,1,3,1,0,Discomfort
1,1,1,2,0,1,Fever
1,1,0,1,0,0,Sleepy
1,3,1,3,0,0,Hungry
1,3,1,3,0,0,Hungry
1,1,1,3,1,0,Discomfort
1,1,1,2,0,1,Fever
1,1,1,3,1,0,Discomfort
1,3,1,3,0,0,Hungry
1,3,1,3,0,0,Hungry
1,3,1,3,0,0,Hungry
1,1,1,2,0,1,Fever
1,0,1,0,0,0,Happy
1,1,0,1,0,0,Sleepy
1,3,1,3,0,0,Hungry
1,0,1,0,0,0,Happy
1,1,1,3,1,0,Discomfort
1,3,1,3,0,0,Hungry
1,1,0,1,0,0,Sleepy
1,1,1,2,0,1,Fever
1,0,1,0,0,0,Happy
1,3,1,3,0,0,Hungry
1,0,1,0,0,0,Happy
1,0,1,0,0,0,Happy
1,1,1,3,1,0,Discomfort
1,1,1,3,1,0,Discomfort
1,0,1,0,0,0,Happy
1,1,1,2,0,1,Fever
1,0,1,0,0,0,Happy
1,1,1,3,1,0,Discomfort
1,3,1,3,0,0,Hungry
1,1,0,1,0,0,Sleepy
1,0,1,0,0,0,Happy
1,1,1,2,0,1,Fever
1,0,1,0,0,0,Happy
1,1,0,1,0,0,Sleepy
1,0,1,0,0,0,Happy
1,0,1,0,0,0,Happy
1,0,1,0,0,0,Happy
1,0,1,0,0,0,Happy
1,1,1,3,1,0,Discomfort
1,1,1,3,1,0,Discomfort
1,1,0,1,0,0,Sleepy
1,0,1,0,0,0,Happy
1,1,1,3,1,0,Discomfort
1,0,1,0,0,0,Happy
1,1,1,3,1,0,Discomfort
1,3,1,3,0,0,Hungry
1,3,1,3,0,0,Hungry
1,1,1,3,1,0,Discomfort
1,1,0,1,0,0,Sleepy
1,1,1,2,0,1,Fever
1,1,0,1,0,0,Sleepy
1,3,1,3,0,0,Hungry
1,3,1,3,0,0,Hungry
1,0,1,0,0,0,Happy
1,3,1,3,0,0,Hungry
1,1,1,2,0,1,Fever
1,0,1,0,0,0,Happy
1,0,1,0,0,0,Happy
1,0,1,0,0,0,Happy
1,1,1,2,0,1,Fever
1,3,1,3,0,0,Hungry
1,1,0,1,0,0,Sleepy
1,1,1,2,0,1,Fever
1,1,0,1,0,0,Sleepy
1,1,1,3,1,0,Discomfort
1,1,1,2,0,1,Fever
1,1,0,1,0,0,Sleepy
1,1,1,2,0,1,Fever
1,1,1,3,1,0,Discomfort
1,0,1,0,0,0,Happy
1,1,0,1,0,0,Sleepy
1,0,1,0,0,0,Happy
1,0,1,0,0,0,Happy
1,3,1,3,0,0,Hungry
1,1,1,2,0,1,Fever
1,0,1,0,0,0,Happy
1,1,1,2,0,1,Fever
1,1,1,2,0,1,Fever
1,1,1,3,1,0,Discomfort
1,1,1,3,1,0,Discomfort
1,1,1,2,0,1,Fever
1,3,1,3,0,0,Hungry
1,1,1,2,0,1,Fever
1,1,1,3,1,0,Discomfort
1,1,0,1,0,0,Sleepy
1,1,1,2,0,1,Fever
1,1,1,2,0,1,Fever
1,1,0,1,0,0,Sleepy
1,1,0,1,0,0,Sleepy
1,0,1,0,0,0,Happy
1,1,0,1,0,0,Sleepy
1,1,0,1,0,0,Sleepy
1,1,1,2,0,1,Fever
1,1,0,1,0,0,Sleepy
1,1,1,3,1,0,Discomfort
1,1,0,1,0,0,Sleepy
1,1,0,1,0,0,Sleepy
1,3,1,3,0,0,Hungry
1,1,1,2,0,1,Fever
1,0,1,0,0,0,Happy
1,1,1,2,0,1,Fever
1,3,1,3,0,0,Hungry
1,3,1,3,0,0,Hungry
1,1,0,1,0,0,Sleepy
1,1,1,3,1,0,Discomfort
1,1,1,2,0,1,Fever
1,1,1,2,0,1,Fever
1,3,1,3,0,0,Hungry
1,1,1,2,0,1,Fever
1,1,1,3,1,0,Discomfort
1,0,1,0,0,0,Happy
1,0,1,0,0,0,Happy
1,3,1,3,0,0,Hungry
1,1,0,1,0,0,Sleepy
1,1,1,2,0,1,Fever
1,0,1,0,0,0,Happy
1,1,0,1,0,0,Sleepy
1,1,1,3,1,0,Discomfort
1,1,0,1,0,0,Sleepy
1,3,1,3,0,0,Hungry
1,1,0,1,0,0,Sleepy
1,1,0,1,0,0,Sleepy
1,0,1,0,0,0,Happy
1,1,1,2,0,1,Fever
1,3,1,3,0,0,Hungry
1,1,1,3,1,0,Discomfort
1,0,1,0,0,0,Happy
1,3,1,3,0,0,Hungry
1,0,1,0,0,0,Happy
1,0,1,0,0,0,Happy
1,1,1,3,1,0,Discomfort
1,1,1,2,0,1,Fever
1,0,1,0,0,0,Happy
1,1,0,1,0,0,Sleepy
1,0,1,0,0,0,Happy
1,3,1,3,0,0,Hungry
1,0,1,0,0,0,Happy
1,3,1,3,0,0,Hungry
1,3,1,3,0,0,Hungry
1,1,1,3,1,0,Discomfort
1,1,1,3,1,0,Discomfort
1,0,1,0,0,0,Happy
1,1,1,2,0,1,Fever
1,1,0,1,0,0,Sleepy
1,3,1,3,0,0,Hungry
1,1,0,1,0,0,Sleepy
1,1,0,1,0,0,Sleepy
1,0,1,0,0,0,Happy
1,1,1,3,1,0,Discomfort
1,1,1,3,1,0,Discomfort
1,1,0,1,0,0,Sleepy
1,3,1,3,0,0,Hungry
1,1,0,1,0,0,Sleepy
1,1,1,2,0,1,Fever
1,1,0,1,0,0,Sleepy
1,1,1,2,0,1,Fever
1,1,1,3,1,0,Discomfort
1,3,1,3,0,0,Hungry
1,1,1,3,1,0,Discomfort
1,1,1,2,0,1,Fever
1,1,1,3,1,0,Discomfort
1,1,0,1,0,0,Sleepy
1,1,1,2,0,1,Fever
1,3,1,3,0,0,Hungry
1,3,1,3,0,0,Hungry
1,3,1,3,0,0,Hungry
1,1,0,1,0,0,Sleepy
1,1,1,2,0,1,Fever
1,3,1,3,0,0,Hungry
1,1,1,3,1,0,Discomfort
1,1,0,1,0,0,Sleepy
1,1,1,3,1,0,Discomfort
1,1,1,3,1,0,Discomfort
1,1,0,1,0,0,Sleepy
1,1,0,1,0,0,Sleepy
1,3,1,3,0,0,Hungry
1,1,1,2,0,1,Fever
1,1,1,3,1,0,Discomfort
1,1,0,1,0,0,Sleepy
1,0,1,0,0,0,Happy
1,1,1,3,1,0,Discomfort
1,1,1,3,1,0,Discomfort
1,1,1,2,0,1,Fever
1,0,1,0,0,0,Happy
1,0,1,0,0,0,Happy
1,3,1,3,0,0,Hungry
1,1,0,1,0,0,Sleepy
1,1,1,3,1,0,Discomfort
1,1,1,2,0,1,Fever
1,3,1,3,0,0,Hungry
1,3,1,3,0,0,Hungry
1,3,1,3,0,0,Hungry
1,3,1,3,0,0,Hungry
1,0,1,0,0,0,Happy
1,3,1,3,0,0,Hungry
1,1,0,1,0,0,Sleepy
1,1,0,1,0,0,Sleepy
1,1,1,2,0,1,Fever
1,1,0,1,0,0,Sleepy
1,1,1,3,1,0,Discomfort
1,3,1,3,0,0,Hungry
1,1,1,2,0,1,Fever
1,1,0,1,0,0,Sleepy
1,1,0,1,0,0,Sleepy
1,1,0,1,0,0,Sleepy
1,1,1,3,1,0,Discomfort
1,1,1,2,0,1,Fever
1,3,1,3,0,0,Hungry
1,1,1,2,0,1,Fever
1,1,1,2,0,1,Fever
1,1,1,2,0,1,Fever
1,1,1,2,0,1,Fever
1,0,1,0,0,0,Happy
1,0,1,0,0,0,Happy
1,0,1,0,0,0,Happy
1,3,1,3,0,0,Hungry
1,0,1,0,0,0,Happy
1,1,0,1,0,0,Sleepy
1,1,1,3,1,0,Discomfort
1,3,1,3,0,0,Hungry
1,0,1,0,0,0,Happy
1,1,1,3,1,0,Discomfort
1,1,1,3,1,0,Discomfort
1,3,1,3,0,0,Hungry
1,1,1,3,1,0,Discomfort
1,1,1,3,1,0,Discomfort
1,0,1,0,0,0,Happy
1,0,1,0,0,0,Happy
1,1,1,3,1,0,Discomfort
1,3,1,3,0,0,Hungry
1,0,1,0,0,0,Happy
1,3,1,3,0,0,Hungry
1,1,1,3,1,0,Discomfort
1,1,1,2,0,1,Fever
1,1,1,2,0,1,Fever
1,3,1,3,0,0,Hungry
1,0,1,0,0,0,Happy
1,1,1,2,0,1,Fever
1,3,1,3,0,0,Hungry
1,3,1,3,0,0,Hungry
1,1,1,3,1,0,Discomfort
1,0,1,0,0,0,Happy
1,1,0,1,0,0,Sleepy
1,1,1,3,1,0,Discomfort
1,1,0,1,0,0,Sleepy
1,1,1,2,0,1,Fever
1,1,1,3,1,0,Discomfort
1,3,1,3,0,0,Hungry
1,1,0,1,0,0,Sleepy
1,0,1,0,0,0,Happy
1,1,1,2,0,1,Fever
1,1,0,1,0,0,Sleepy
1,3,1,3,0,0,Hungry
1,1,0,1,0,0,Sleepy
1,1,1,2,0,1,Fever
1,0,1,0,0,0,Happy
1,3,1,3,0,0,Hungry
1,1,1,3,1,0,Discomfort
1,1,0,1,0,0,Sleepy
1,1,1,2,0,1,Fever
1,1,1,3,1,0,Discomfort
1,1,0,1,0,0,Sleepy
1,1,1,3,1,0,Discomfort
1,1,1,3,1,0,Discomfort
1,3,1,3,0,0,Hungry
1,1,1,2,0,1,Fever
1,3,1,3,0,0,Hungry
1,1,1,3,1,0,Discomfort
1,1,1,2,0,1,Fever
1,1,1,3,1,0,Discomfort
1,3,1,3,0,0,Hungry
1,1,1,3,1,0,Discomfort
1,1,1,3,1,0,Discomfort
1,0,1,0,0,0,Happy
1,3,1,3,0,0,Hungry
1,1,1,3,1,0,Discomfort
1,1,1,3,1,0,Discomfort
1,1,1,2,0,1,Fever
1,1,1,2,0,1,Fever
1,1,1,2,0,1,Fever
1,3,1,3,0,0,Hungry
1,0,1,0,0,0,Happy
1,3,1,3,0,0,Hungry
1,1,0,1,0,0,Sleepy
1,1,0,1,0,0,Sleepy
1,1,0,1,0,0,Sleepy
1,1,1,2,0,1,Fever
1,1,0,1,0,0,Sleepy
1,1,1,3,1,0,Discomfort
1,1,0,1,0,0,Sleepy
1,0,1,0,0,0,Happy
1,1,1,3,1,0,Discomfort
1,1,1,3,1,0,Discomfort
1,1,1,3,1,0,Discomfort
1,1,1,3,1,0,Discomfort
1,0,1,0,0,0,Happy
1,3,1,3,0,0,Hungry
1,0,1,0,0,0,Happy
1,3,1,3,0,0,Hungry
1,3,1,3,0,0,Hungry
1,3,1,3,0,0,Hungry
1,0,1,0,0,0,Happy
1,1,0,1,0,0,Sleepy
1,1,1,3,1,0,Discomfort
1,3,1,3,0,0,Hungry
1,1,1,3,1,0,Discomfort
1,1,1,3,1,0,Discomfort
1,1,1,3,1,0,Discomfort
1,1,1,2,0,1,Fever
1,1,1,2,0,1,Fever
1,1,1,2,0,1,Fever
1,3,1,3,0,0,Hungry
1,3,1,3,0,0,Hungry
1,3,1,3,0,0,Hungry
1,1,1,3,1,0,Discomfort
1,1,0,1,0,0,Sleepy
1,1,1,2,0,1,Fever
1,3,1,3,0,0,Hungry
1,1,0,1,0,0,Sleepy
1,3,1,3,0,0,Hungry
1,1,1,3,1,0,Discomfort
1,0,1,0,0,0,Happy
1,3,1,3,0,0,Hungry
1,1,0,1,0,0,Sleepy
1,1,0,1,0,0,Sleepy
1,1,0,1,0,0,Sleepy
1,3,1,3,0,0,Hungry
1,3,1,3,0,0,Hungry
1,3,1,3,0,0,Hungry
1,0,1,0,0,0,Happy
1,3,1,3,0,0,Hungry
1,3,1,3,0,0,Hungry
1,1,1,2,0,1,Fever
1,1,1,2,0,1,Fever
1,1,0,1,0,0,Sleepy
1,1,1,2,0,1,Fever
1,1,0,1,0,0,Sleepy
1,1,1,3,1,0,Discomfort
1,0,1,0,0,0,Happy
1,1,1,2,0,1,Fever
1,0,1,0,0,0,Happy
1,1,1,3,1,0,Discomfort
1,1,1,2,0,1,Fever
1,1,1,3,1,0,Discomfort
1,1,0,1,0,0,Sleepy
1,3,1,3,0,0,Hungry
1,3,1,3,0,0,Hungry
1,1,1,3,1,0,Discomfort
1,1,1,2,0,1,Fever
1,1,0,1,0,0,Sleepy
1,1,1,2,0,1,Fever
1,1,1,2,0,1,Fever
1,1,1,2,0,1,Fever
1,3,1,3,0,0,Hungry
1,0,1,0,0,0,Happy
1,1,0,1,0,0,Sleepy
1,0,1,0,0,0,Happy
1,0,1,0,0,0,Happy
1,1,1,2,0,1,Fever
1,3,1,3,0,0,Hungry
1,0,1,0,0,0,Happy
1,0,1,0,0,0,Happy
1,1,1,2,0,1,Fever
1,1,1,2,0,1,Fever
1,3,1,3,0,0,Hungry
1,1,0,1,0,0,Sleepy
1,1,1,2,0,1,Fever
1,1,1,2,0,1,Fever
1,1,1,2,0,1,Fever
1,1,1,2,0,1,Fever
1,1,1,2,0,1,Fever
1,0,1,0,0,0,Happy
1,1,1,2,0,1,Fever
1,1,0,1,0,0,Sleepy
1,1,1,3,1,0,Discomfort
1,0,1,0,0,0,Happy
1,1,0,1,0,0,Sleepy
1,1,1,2,0,1,Fever
1,1,1,3,1,0,Discomfort
1,1,1,2,0,1,Fever
1,0,1,0,0,0,Happy
1,1,1,3,1,0,Discomfort
1,1,1,3,1,0,Discomfort
1,0,1,0,0,0,Happy
1,1,0,1,0,0,Sleepy
1,1,1,3,1,0,Discomfort
1,1,1,2,0,1,Fever
1,1,1,2,0,1,Fever
1,1,1,2,0,1,Fever
1,1,1,3,1,0,Discomfort
1,1,1,3,1,0,Discomfort
1,3,1,3,0,0,Hungry
1,0,1,0,0,0,Happy
1,1,1,3,1,0,Discomfort
1,0,1,0,0,0,Happy
1,1,1,2,0,1,Fever
1,1,1,3,1,0,Discomfort
1,1,0,1,0,0,Sleepy
1,3,1,3,0,0,Hungry
1,1,0,1,0,0,Sleepy
1,0,1,0,0,0,Happy
1,0,1,0,0,0,Happy
1,1,1,3,1,0,Discomfort
1,3,1,3,0,0,Hungry
1,1,0,1,0,0,Sleepy
1,3,1,3,0,0,Hungry
1,1,0,1,0,0,Sleepy
1,1,1,3,1,0,Discomfort
1,1,1,2,0,1,Fever
1,1,1,2,0,1,Fever
1,1,1,2,0,1,Fever
1,0,1,0,0,0,Happy
1,1,1,3,1,0,Discomfort
1,0,1,0,0,0,Happy
1,1,0,1,0,0,Sleepy
1,0,1,0,0,0,Happy
1,1,1,3,1,0,Discomfort
1,1,1,3,1,0,Discomfort
1,1,1,3,1,0,Discomfort
1,0,1,0,0,0,Happy
1,0,1,0,0,0,Happy
1,1,0,1,0,0,Sleepy
1,1,0,1,0,0,Sleepy
1,1,1,3,1,0,Discomfort
1,3,1,3,0,0,Hungry
1,3,1,3,0,0,Hungry
1,1,0,1,0,0,Sleepy
1,3,1,3,0,0,Hungry
1,1,1,3,1,0,Discomfort
1,1,1,2,0,1,Fever
1,1,1,3,1,0,Discomfort
1,1,1,3,1,0,Discomfort
1,1,1,2,0,1,Fever
1,3,1,3,0,0,Hungry
1,1,1,3,1,0,Discomfort
1,1,1,3,1,0,Discomfort
1,0,1,0,0,0,Happy
1,1,1,3,1,0,Discomfort
1,3,1,3,0,0,Hungry
1,1,1,3,1,0,Discomfort
1,3,1,3,0,0,Hungry
1,3,1,3,0,0,Hungry
1,3,1,3,0,0,Hungry
1,1,1,3,1,0,Discomfort
1,0,1,0,0,0,Happy
1,1,1,3,1,0,Discomfort
1,1,0,1,0,0,Sleepy
1,1,0,1,0,0,Sleepy
1,1,1,3,1,0,Discomfort
1,0,1,0,0,0,Happy
1,0,1,0,0,0,Happy
1,1,1,2,0,1,Fever
1,3,1,3,0,0,Hungry
1,1,0,1,0,0,Sleepy
1,1,1,2,0,1,Fever
1,3,1,3,0,0,Hungry
1,1,1,2,0,1,Fever
1,1,0,1,0,0,Sleepy
1,1,0,1,0,0,Sleepy
1,1,1,3,1,0,Discomfort
1,1,0,1,0,0,Sleepy
1,0,1,0,0,0,Happy
1,1,1,3,1,0,Discomfort
1,1,1,2,0,1,Fever
1,0,1,0,0,0,Happy
1,0,1,0,0,0,Happy
1,0,1,0,0,0,Happy
1,1,1,2,0,1,Fever
1,1,1,3,1,0,Discomfort
1,1,1,2,0,1,Fever
1,1,1,2,0,1,Fever
1,1,0,1,0,0,Sleepy
1,1,1,3,1,0,Discomfort
1,1,1,2,0,1,Fever
1,1,0,1,0,0,Sleepy
1,1,1,2,0,1,Fever
1,1,1,3,1,0,Discomfort
1,3,1,3,0,0,Hungry
1,0,1,0,0,0,Happy
1,1,1,3,1,0,Discomfort
1,1,0,1,0,0,Sleepy
1,1,1,2,0,1,Fever
1,3,1,3,0,0,Hungry
1,1,1,3,1,0,Discomfort
1,1,0,1,0,0,Sleepy
1,1,1,2,0,1,Fever
1,1,1,2,0,1,Fever
1,1,1,3,1,0,Discomfort
1,0,1,0,0,0,Happy
1,0,1,0,0,0,Happy
1,3,1,3,0,0,Hungry
1,1,1,3,1,0,Discomfort
1,3,1,3,0,0,Hungry
1,1,1,3,1,0,Discomfort
1,3,1,3,0,0,Hungry
1,1,1,3,1,0,Discomfort
1,1,1,2,0,1,Fever
1,0,1,0,0,0,Happy
1,1,1,3,1,0,Discomfort
1,1,1,3,1,0,Discomfort
1,3,1,3,0,0,Hungry
1,1,0,1,0,0,Sleepy
1,3,1,3,0,0,Hungry
1,1,1,2,0,1,Fever
1,3,1,3,0,0,Hungry
1,0,1,0,0,0,Happy
1,0,1,0,0,0,Happy
1,1,1,3,1,0,Discomfort
1,0,1,0,0,0,Happy
1,1,1,3,1,0,Discomfort
1,1,1,3,1,0,Discomfort
1,1,0,1,0,0,Sleepy
1,1,1,3,1,0,Discomfort
1,3,1,3,0,0,Hungry
1,1,1,2,0,1,Fever
1,1,0,1,0,0,Sleepy
1,3,1,3,0,0,Hungry
1,1,1,3,1,0,Discomfort
1,3,1,3,0,0,Hungry
1,1,0,1,0,0,Sleepy
1,1,1,3,1,0,Discomfort
1,0,1,0,0,0,Happy
1,1,1,3,1,0,Discomfort
1,0,1,0,0,0,Happy
1,1,1,3,1,0,Discomfort
1,1,0,1,0,0,Sleepy
1,3,1,3,0,0,Hungry
1,0,1,0,0,0,Happy
1,1,1,3,1,0,Discomfort
1,0,1,0,0,0,Happy
1,1,1,2,0,1,Fever
1,1,1,3,1,0,Discomfort
1,1,1,3,1,0,Discomfort
1,1,0,1,0,0,Sleepy
1,1,1,2,0,1,Fever
1,1,0,1,0,0,Sleepy
1,1,1,2,0,1,Fever
1,1,1,3,1,0,Discomfort
1,1,1,3,1,0,Discomfort
1,0,1,0,0,0,Happy
1,3,1,3,0,0,Hungry
1,1,1,2,0,1,Fever
1,3,1,3,0,0,Hungry
1,0,1,0,0,0,Happy
1,1,0,1,0,0,Sleepy
1,1,0,1,0,0,Sleepy
1,1,1,2,0,1,Fever
1,0,1,0,0,0,Happy
1,1,1,3,1,0,Discomfort
1,3,1,3,0,0,Hungry
1,1,1,2,0,1,Fever
1,3,1,3,0,0,Hungry
1,1,1,3,1,0,Discomfort
1,1,1,2,0,1,Fever
1,1,1,3,1,0,Discomfort
1,0,1,0,0,0,Happy
1,3,1,3,0,0,Hungry
1,3,1,3,0,0,Hungry
1,0,1,0,0,0,Happy
1,1,1,2,0,1,Fever
1,1,1,3,1,0,Discomfort
1,1,1,3,1,0,Discomfort
1,3,1,3,0,0,Hungry
1,1,1,2,0,1,Fever
1,1,1,3,1,0,Discomfort
1,1,1,3,1,0,Discomfort
1,1,1,3,1,0,Discomfort
1,1,0,1,0,0,Sleepy
1,0,1,0,0,0,Happy
1,1,0,1,0,0,Sleepy
1,0,1,0,0,0,Happy
1,0,1,0,0,0,Happy
1,1,1,2,0,1,Fever
1,1,1,2,0,1,Fever
1,1,0,1,0,0,Sleepy
1,1,1,3,1,0,Discomfort
1,1,1,2,0,1,Fever
1,3,1,3,0,0,Hungry
1,1,1,2,0,1,Fever
1,1,1,3,1,0,Discomfort
1,1,1,2,0,1,Fever
1,1,0,1,0,0,Sleepy
1,1,1,2,0,1,Fever
1,1,0,1,0,0,Sleepy
1,1,1,2,0,1,Fever
1,1,0,1,0,0,Sleepy
1,0,1,0,0,0,Happy
1,0,1,0,0,0,Happy
1,1,1,3,1,0,Discomfort
1,1,1,3,1,0,Discomfort
1,0,1,0,0,0,Happy
1,3,1,3,0,0,Hungry
1,1,1,3,1,0,Discomfort
1,1,1,2,0,1,Fever
1,1,0,1,0,0,Sleepy
1,0,1,0,0,0,Happy
1,3,1,3,0,0,Hungry
1,0,1,0,0,0,Happy
1,3,1,3,0,0,Hungry
1,1,1,3,1,0,Discomfort
1,1,1,2,0,1,Fever
1,1,1,2,0,1,Fever
1,3,1,3,0,0,Hungry
1,1,0,1,0,0,Sleepy
1,1,1,3,1,0,Discomfort
1,1,0,1,0,0,Sleepy
1,3,1,3,0,0,Hungry
1,1,1,3,1,0,Discomfort
1,0,1,0,0,0,Happy
1,1,1,3,1,0,Discomfort
1,1,1,2,0,1,Fever
1,1,1,3,1,0,Discomfort
1,1,1,2,0,1,Fever
1,1,1,2,0,1,Fever
1,1,1,2,0,1,Fever
1,1,1,3,1,0,Discomfort
1,1,1,2,0,1,Fever
1,0,1,0,0,0,Happy
1,1,1,2,0,1,Fever
1,1,1,3,1,0,Discomfort
1,1,1,3,1,0,Discomfort
1,1,0,1,0,0,Sleepy
1,3,1,3,0,0,Hungry
1,1,0,1,0,0,Sleepy
1,1,0,1,0,0,Sleepy
1,0,1,0,0,0,Happy
1,1,1,3,1,0,Discomfort
1,3,1,3,0,0,Hungry
1,3,1,3,0,0,Hungry
1,0,1,0,0,0,Happy
1,3,1,3,0,0,Hungry
1,1,1,2,0,1,Fever
1,1,0,1,0,0,Sleepy
1,1,1,3,1,0,Discomfort
1,0,1,0,0,0,Happy
1,1,1,3,1,0,Discomfort
1,3,1,3,0,0,Hungry
1,3,1,3,0,0,Hungry
1,1,1,2,0,1,Fever
1,1,0,1,0,0,Sleepy
1,0,1,0,0,0,Happy
1,3,1,3,0,0,Hungry
1,0,1,0,0,0,Happy
1,1,1,2,0,1,Fever
1,3,1,3,0,0,Hungry
1,3,1,3,0,0,Hungry
1,0,1,0,0,0,Happy
1,1,0,1,0,0,Sleepy
1,3,1,3,0,0,Hungry
1,1,1,2,0,1,Fever
1,0,1,0,0,0,Happy
1,1,1,3,1,0,Discomfort
1,3,1,3,0,0,Hungry
1,1,0,1,0,0,Sleepy
1,1,1,3,1,0,Discomfort
1,1,0,1,0,0,Sleepy
1,1,1,2,0,1,Fever
1,3,1,3,0,0,Hungry
1,1,0,1,0,0,Sleepy
1,3,1,3,0,0,Hungry
1,1,1,2,0,1,Fever
1,3,1,3,0,0,Hungry
1,0,1,0,0,0,Happy
1,1,1,2,0,1,Fever
1,3,1,3,0,0,Hungry
1,0,1,0,0,0,Happy
1,1,1,2,0,1,Fever
1,0,1,0,0,0,Happy
1,1,1,2,0,1,Fever
1,0,1,0,0,0,Happy
1,1,1,3,1,0,Discomfort
1,1,1,2,0,1,Fever
1,1,1,3,1,0,Discomfort
1,1,1,3,1,0,Discomfort
1,3,1,3,0,0,Hungry
1,1,0,1,0,0,Sleepy
1,3,1,3,0,0,Hungry
1,1,1,3,1,0,Discomfort
1,0,1,0,0,0,Happy
1,1,0,1,0,0,Sleepy
1,1,0,1,0,0,Sleepy
1,0,1,0,0,0,Happy
1,1,1,2,0,1,Fever
1,3,1,3,0,0,Hungry
1,1,1,3,1,0,Discomfort
1,1,1,3,1,0,Discomfort
1,3,1,3,0,0,Hungry
1,3,1,3,0,0,Hungry
1,1,1,3,1,0,Discomfort
1,1,1,2,0,1,Fever
1,1,0,1,0,0,Sleepy
1,1,1,3,1,0,Discomfort
1,1,0,1,0,0,Sleepy
1,1,1,3,1,0,Discomfort
1,1,1,3,1,0,Discomfort
1,1,0,1,0,0,Sleepy
1,3,1,3,0,0,Hungry
1,3,1,3,0,0,Hungry
1,0,1,0,0,0,Happy
1,3,1,3,0,0,Hungry
1,1,0,1,0,0,Sleepy
1,1,1,3,1,0,Discomfort
1,1,0,1,0,0,Sleepy
1,0,1,0,0,0,Happy
1,1,0,1,0,0,Sleepy
1,1,1,3,1,0,Discomfort
1,1,1,2,0,1,Fever
1,0,1,0,0,0,Happy
1,1,1,2,0,1,Fever
1,1,1,3,1,0,Discomfort
1,3,1,3,0,0,Hungry
1,0,1,0,0,0,Happy
1,1,1,2,0,1,Fever
1,3,1,3,0,0,Hungry
1,3,1,3,0,0,Hungry
1,1,0,1,0,0,Sleepy
1,1,1,2,0,1,Fever
1,1,0,1,0,0,Sleepy
1,1,1,3,1,0,Discomfort
1,1,1,3,1,0,Discomfort
1,3,1,3,0,0,Hungry
1,0,1,0,0,0,Happy
1,3,1,3,0,0,Hungry
1,1,0,1,0,0,Sleepy
1,3,1,3,0,0,Hungry
1,0,1,0,0,0,Happy
1,1,1,3,1,0,Discomfort
1,0,1,0,0,0,Happy
1,1,1,3,1,0,Discomfort
1,0,1,0,0,0,Happy
1,3,1,3,0,0,Hungry
1,3,1,3,0,0,Hungry
1,3,1,3,0,0,Hungry
1,3,1,3,0,0,Hungry
1,1,0,1,0,0,Sleepy
1,1,1,3,1,0,Discomfort
1,0,1,0,0,0,Happy
1,1,0,1,0,0,Sleepy
1,1,0,1,0,0,Sleepy
1,1,1,3,1,0,Discomfort
1,1,1,3,1,0,Discomfort
1,0,1,0,0,0,Happy
1,3,1,3,0,0,Hungry
1,1,1,3,1,0,Discomfort
1,3,1,3,0,0,Hungry
1,1,0,1,0,0,Sleepy
1,1,0,1,0,0,Sleepy
1,3,1,3,0,0,Hungry
